222156	  303.0	  310.4	  622.0	...
222157	  323.5	  318.2	  623.0	...
222158	  340.6	  324.9	  626.0	...
222159	  357.3	  329.9	  630.0	...
222160	  372.8	  336.5	  632.0	...
222161	  388.7	  347.4	  634.0	...
222162	  405.6	  356.6	  634.0	...
222163	  422.6	  366.7	  634.0	...
222164	  438.9	  373.2	  635.0	...
222165	  453.0	  383.2	  636.0	...
222166	  466.1	  391.3	  636.0	...
222167	  480.5	  401.6	  637.0	...
222168	  497.0	  406.8	  636.0	...
222169	  512.6	  410.8	  636.0	...
222170	  527.4	  413.6	  637.0	...
222171	  542.2	  416.3	  639.0	...
222172	  557.8	  424.6	  641.0	...
222173	  573.2	  434.7	  643.0	...
222174	  584.5	  444.8	  643.0	...
222175	  596.8	  450.5	  643.0	...
222176	  608.9	  452.2	  644.0	...
222177	  620.4	  456.4	  642.0	...
222178	  629.0	  459.6	  641.0	...
222179	  636.4	  466.3	  639.0	...
222180	  646.1	  470.4	  641.0	...
222181	  655.9	  475.5	  643.0	...
222182	  665.3	  477.6	  644.0	...
222183	  672.6	  479.7	  644.0	...
222184	  678.5	  482.1	  643.0	...
222185	  685.5	  483.9	  643.0	...
222186	  692.9	  485.6	  643.0	...
222187	  699.1	  485.5	  642.0	...
222188	  702.6	  485.3	  642.0	...
222189	  704.0	  486.0	  642.0	...
222190	  705.0	  486.9	  641.0	...
222191	  704.8	  487.8	  642.0	...
222192	  703.9	  487.9	  642.0	...
ESACC R  222133	222192	60	   50.3	  204.9	  703.9	  487.9	  12.83	    348
SFIX R   222193
222193	  702.0	  487.9	  642.0	...
222194	  699.3	  487.8	  641.0	...
222195	  696.6	  487.7	  641.0	...
222196	  694.3	  486.9	  642.0	...
222197	  692.9	  485.4	  642.0	...
222198	  692.5	  483.3	  643.0	...
222199	  692.6	  481.8	  644.0	...
222200	  692.7	  480.9	  645.0	...
222201	  692.9	  480.4	  646.0	...
222202	  693.1	  479.9	  646.0	...
222203	  693.2	  481.3	  645.0	...
222204	  694.0	  483.1	  644.0	...
222205	  695.0	  484.9	  644.0	...
222206	  696.1	  485.2	  645.0	...
222207	  696.6	  485.3	  646.0	...
222208	  696.8	  485.7	  647.0	...
222209	  697.0	  486.2	  647.0	...
222210	  696.9	  487.0	  646.0	...
222211	  696.9	  487.3	  646.0	...
222212	  697.4	  487.3	  645.0	...
222213	  698.0	  487.6	  645.0	...
222214	  699.7	  488.1	  645.0	...
222215	  700.8	  489.0	  644.0	...
222216	  701.2	  489.8	  643.0	...
222217	  700.5	  490.6	  642.0	...
222218	  700.0	  490.8	  641.0	...
222219	  700.1	  490.5	  641.0	...
222220	  700.1	  490.3	  642.0	...
222221	  700.1	  489.2	  643.0	...
222222	  699.6	  487.6	  644.0	...
222223	  699.1	  486.0	  644.0	...
222224	  698.4	  486.1	  644.0	...
222225	  698.2	  487.4	  644.0	...
222226	  698.0	  488.5	  644.0	...
222227	  698.0	  489.0	  644.0	...
222228	  698.0	  489.0	  644.0	...
222229	  698.1	  489.1	  644.0	...
222230	  698.4	  489.3	  644.0	...
222231	  699.1	  489.2	  644.0	...
222232	  699.7	  489.0	  644.0	...
222233	  700.0	  488.6	  644.0	...
222234	  699.8	  487.7	  644.0	...
222235	  699.6	  486.9	  644.0	...
222236	  699.3	  486.3	  645.0	...
222237	  698.2	  485.7	  645.0	...
222238	  697.1	  485.1	  645.0	...
222239	  696.5	  485.3	  645.0	...
222240	  697.3	  486.1	  644.0	...
222241	  698.1	  487.2	  644.0	...
222242	  698.8	  487.4	  645.0	...
222243	  699.2	  487.6	  646.0	...
222244	  699.7	  488.0	  647.0	...
222245	  699.9	  488.5	  648.0	...
222246	  699.8	  488.6	  648.0	...
222247	  699.8	  488.0	  648.0	...
222248	  699.8	  486.6	  648.0	...
222249	  698.9	  485.5	  647.0	...
222250	  698.0	  485.7	  649.0	...
222251	  696.9	  486.6	  651.0	...
222252	  696.8	  487.3	  653.0	...
222253	  696.8	  487.0	  654.0	...
222254	  696.4	  486.8	  654.0	...
222255	  696.0	  487.0	  652.0	...
222256	  696.6	  487.1	  651.0	...
222257	  697.5	  487.1	  651.0	...
222258	  698.3	  486.9	  651.0	...
222259	  698.3	  486.3	  650.0	...
222260	  698.3	  485.7	  651.0	...
222261	  698.3	  485.4	  651.0	...
222262	  698.2	  487.0	  652.0	...
222263	  698.0	  488.7	  652.0	...
222264	  698.4	  489.2	  652.0	...
222265	  698.9	  488.1	  652.0	...
222266	  699.7	  486.8	  652.0	...
222267	  699.9	  486.7	  652.0	...
222268	  700.0	  486.6	  652.0	...
222269	  699.8	  486.6	  652.0	...
222270	  699.2	  486.6	  653.0	...
222271	  698.8	  486.5	  654.0	...
222272	  698.7	  486.5	  656.0	...
222273	  698.7	  486.5	  657.0	...
222274	  698.5	  486.4	  658.0	...
222275	  698.1	  486.2	  659.0	...
222276	  697.6	  487.0	  658.0	...
222277	  697.5	  487.9	  658.0	...
222278	  697.3	  488.9	  658.0	...
222279	  697.3	  489.1	  657.0	...
222280	  697.3	  489.2	  656.0	...
222281	  697.5	  488.0	  656.0	...
222282	  697.7	  486.7	  658.0	...
222283	  697.7	  486.9	  660.0	...
222284	  697.6	  488.3	  660.0	...
222285	  697.6	  489.9	  657.0	...
222286	  697.8	  489.9	  654.0	...
222287	  697.6	  489.8	  655.0	...
222288	  697.3	  489.6	  657.0	...
222289	  697.0	  488.3	  659.0	...
222290	  696.8	  487.1	  660.0	...
222291	  696.7	  485.4	  660.0	...
222292	  696.6	  484.6	  660.0	...
222293	  696.7	  484.0	  660.0	...
222294	  696.7	  484.1	  660.0	...
222295	  696.7	  485.3	  659.0	...
222296	  697.1	  486.4	  660.0	...
222297	  697.5	  487.3	  660.0	...
222298	  696.8	  487.2	  662.0	...
222299	  695.6	  487.1	  664.0	...
222300	  694.6	  487.2	  666.0	...
